26-Mar-21,"3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,467,850,000"
25-Mar-21,"3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,940,800,000"
24-Mar-21,"3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,766,990,000"
23-Mar-21,"3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,645,340,000"
22-Mar-21,"3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,311,380,000"
19-Mar-21,"3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,725,050,000"
18-Mar-21,"3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","4,043,170,000"
17-Mar-21,"3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,541,620,000"
16-Mar-21,"3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,604,870,000"
15-Mar-21,"3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,882,190,000"
12-Mar-21,"3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,469,240,000"
11-Mar-21,"3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,300,010,000"
10-Mar-21,"3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,827,250,000"
9-Mar-21,"3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,496,340,000"
8-Mar-21,"3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,852,240,000"
5-Mar-21,"3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,842,570,000"
4-Mar-21,"3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,142,240,000"
3-Mar-21,"3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,150,790,000"
2-Mar-21,"3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,493,690,000"
1-Mar-21,"3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,071,540,000"
26-Feb-21,"3,839.66","3,861.08","3,789.54","3,811.15","3,811.15","6,512,950,000"
25-Feb-21,"3,915.80","3,925.02","3,814.04","3,829.34","3,829.34","6,513,060,000"
24-Feb-21,"3,873.71","3,928.65","3,859.60","3,925.43","3,925.43","5,942,350,000"
23-Feb-21,"3,857.07","3,895.98","3,805.59","3,881.37","3,881.37","6,280,650,000"
22-Feb-21,"3,885.55","3,902.92","3,874.71","3,876.50","3,876.50","5,870,190,000"
19-Feb-21,"3,921.16","3,930.41","3,903.07","3,906.71","3,906.71","4,823,940,000"
18-Feb-21,"3,915.86","3,921.98","3,885.03","3,913.97","3,913.97","4,773,430,000"
17-Feb-21,"3,918.50","3,933.61","3,900.43","3,931.33","3,931.33","4,718,280,000"
16-Feb-21,"3,939.61","3,950.43","3,923.85","3,932.59","3,932.59","5,037,360,000"
12-Feb-21,"3,911.65","3,937.23","3,905.78","3,934.83","3,934.83","4,119,260,000"
